TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
730518    2441820.500000000000      .351000   -.11600   .21400
730519    2441821.500000000000      .347900   -.11600   .21600
730520    2441822.500000000000      .344700   -.11600   .21700
730521    2441823.500000000000      .341600   -.11600   .21900
730522    2441824.500000000000      .338400   -.11700   .22000
730523    2441825.500000000000      .335300   -.11700   .22100
730524    2441826.500000000000      .332100   -.11700   .22300
730525    2441827.500000000000      .329000   -.11700   .22400
730526    2441828.500000000000      .325800   -.11700   .22600
730527    2441829.500000000000      .322700   -.11700   .22700
730528    2441830.500000000000      .319600   -.11700   .22800
730529    2441831.500000000000      .316600   -.11700   .23000
730530    2441832.500000000000      .313500   -.11700   .23100
730531    2441833.500000000000      .310500   -.11700   .23300
730601    2441834.500000000000      .307400   -.11700   .23400
730602    2441835.500000000000      .304400   -.11700   .23500
730603    2441836.500000000000      .301400   -.11700   .23700
730604    2441837.500000000000      .298400   -.11700   .23800
730605    2441838.500000000000      .295400   -.11700   .24000
730606    2441839.500000000000      .292400   -.11700   .24100
730607    2441840.500000000000      .289500   -.11700   .24300
730608    2441841.500000000000      .286500   -.11600   .24500
730609    2441842.500000000000      .283600   -.11600   .24600
730610    2441843.500000000000      .280600   -.11600   .24800
730611    2441844.500000000000      .277700   -.11600   .25000
730612    2441845.500000000000      .274800   -.11500   .25200
730613    2441846.500000000000      .272000   -.11500   .25400
730614    2441847.500000000000      .269100   -.11500   .25500
730615    2441848.500000000000      .266300   -.11400   .25700
730616    2441849.500000000000      .263400   -.11400   .25900
730617    2441850.500000000000      .260700   -.11300   .26100
730618    2441851.500000000000      .258000   -.11200   .26300
730619    2441852.500000000000      .255200   -.11100   .26400
730620    2441853.500000000000      .252500   -.11000   .26600
730621    2441854.500000000000      .249800   -.11000   .26800
730622    2441855.500000000000      .247200   -.10900   .27000
730623    2441856.500000000000      .244600   -.10800   .27200
730624    2441857.500000000000      .242100   -.10700   .27300
730625    2441858.500000000000      .239500   -.10600   .27500
730626    2441859.500000000000      .236900   -.10500   .27700
730627    2441860.500000000000      .234400   -.10300   .27900
730628    2441861.500000000000      .232000   -.10200   .28100
730629    2441862.500000000000      .229500   -.10000   .28200
730630    2441863.500000000000      .227100   -.09900   .28400
730701    2441864.500000000000      .224600   -.09700   .28600
730702    2441865.500000000000      .222300   -.09500   .28800
730703    2441866.500000000000      .220000   -.09400   .29000
730704    2441867.500000000000      .217700   -.09200   .29100
730705    2441868.500000000000      .215400   -.09100   .29300
730706    2441869.500000000000      .213100   -.08900   .29500
730707    2441870.500000000000      .210800   -.08700   .29600
730708    2441871.500000000000      .208500   -.08500   .29800
730709    2441872.500000000000      .206200   -.08300   .29900
730710    2441873.500000000000      .203900   -.08100   .30000
730711    2441874.500000000000      .201600   -.08000   .30200
730712    2441875.500000000000      .199300   -.07800   .30300
730713    2441876.500000000000      .197000   -.07600   .30400
730714    2441877.500000000000      .194700   -.07400   .30500
730715    2441878.500000000000      .192400   -.07200   .30700
730716    2441879.500000000000      .190100   -.07000   .30800
730717    2441880.500000000000      .187700   -.06800   .30900
730718    2441881.500000000000      .185400   -.06600   .31000
730719    2441882.500000000000      .183000   -.06400   .31100
730720    2441883.500000000000      .180700   -.06200   .31200
730721    2441884.500000000000      .178300   -.06100   .31400
730722    2441885.500000000000      .175900   -.05900   .31500
730723    2441886.500000000000      .173500   -.05700   .31600
730724    2441887.500000000000      .171200   -.05500   .31700
730725    2441888.500000000000      .168800   -.05300   .31800
730726    2441889.500000000000      .166400   -.05100   .31900
730727    2441890.500000000000      .163900   -.04900   .32000
730728    2441891.500000000000      .161500   -.04700   .32100
730729    2441892.500000000000      .159000   -.04600   .32200
730730    2441893.500000000000      .156600   -.04400   .32300
730731    2441894.500000000000      .154100   -.04200   .32500
730801    2441895.500000000000      .151600   -.04000   .32600
730802    2441896.500000000000      .149100   -.03800   .32700
730803    2441897.500000000000      .146700   -.03700   .32800
730804    2441898.500000000000      .144200   -.03500   .32900
730805    2441899.500000000000      .141700   -.03300   .33000
730806    2441900.500000000000      .139200   -.03100   .33100
730807    2441901.500000000000      .136800   -.03000   .33100
730808    2441902.500000000000      .134300   -.02800   .33200
730809    2441903.500000000000      .131900   -.02700   .33300
730810    2441904.500000000000      .129400   -.02500   .33400
730811    2441905.500000000000      .126900   -.02300   .33400
730812    2441906.500000000000      .124400   -.02200   .33500
730813    2441907.500000000000      .121900   -.02000   .33600
730814    2441908.500000000000      .119400   -.01900   .33600
730815    2441909.500000000000      .116900   -.01700   .33700
730816    2441910.500000000000      .114400   -.01600   .33700
730817    2441911.500000000000      .111800   -.01400   .33700
730818    2441912.500000000000      .109300   -.01300   .33800
730819    2441913.500000000000      .106700   -.01100   .33800
730820    2441914.500000000000      .104200   -.01000   .33800
730821    2441915.500000000000      .101600   -.00900   .33800
730822    2441916.500000000000      .099000   -.00700   .33800
730823    2441917.500000000000      .096500   -.00600   .33900
730824    2441918.500000000000      .093900   -.00400   .33900
730825    2441919.500000000000      .091300   -.00300   .33900
730826    2441920.500000000000      .088700   -.00200   .33900
730827    2441921.500000000000      .086000   -.00100   .33900
730828    2441922.500000000000      .083400    .00000   .33900
730829    2441923.500000000000      .080700    .00100   .33900
730830    2441924.500000000000      .078100    .00300   .34000
730831    2441925.500000000000      .075400    .00400   .34000
730901    2441926.500000000000      .072700    .00500   .34000
730902    2441927.500000000000      .069900    .00600   .34000
730903    2441928.500000000000      .067200    .00700   .34000
730904    2441929.500000000000      .064500    .00800   .34000
730905    2441930.500000000000      .061700    .01000   .34000
730906    2441931.500000000000      .058900    .01100   .34000
730907    2441932.500000000000      .056100    .01300   .34100
730908    2441933.500000000000      .053300    .01500   .34100
730909    2441934.500000000000      .050500    .01700   .34100
730910    2441935.500000000000      .047600    .01800   .34100
730911    2441936.500000000000      .044700    .02000   .34100
730912    2441937.500000000000      .041800    .02200   .34200
730913    2441938.500000000000      .038900    .02300   .34200
730914    2441939.500000000000      .036000    .02500   .34200
730915    2441940.500000000000      .033100    .02700   .34200
730916    2441941.500000000000      .030100    .02800   .34300
730917    2441942.500000000000      .027200    .03000   .34300
730918    2441943.500000000000      .024200    .03100   .34400
730919    2441944.500000000000      .021300    .03300   .34400
730920    2441945.500000000000      .018300    .03500   .34400
730921    2441946.500000000000      .015300    .03600   .34500
730922    2441947.500000000000      .012300    .03800   .34500
730923    2441948.500000000000      .009300    .03900   .34600
730924    2441949.500000000000      .006300    .04100   .34600
730925    2441950.500000000000      .003300    .04200   .34600
730926    2441951.500000000000      .000200    .04400   .34600
730927    2441952.500000000000     -.002800    .04500   .34700
730928    2441953.500000000000     -.005900    .04700   .34700
730929    2441954.500000000000     -.008900    .04800   .34700
730930    2441955.500000000000     -.012000    .04900   .34700
731001    2441956.500000000000     -.015100    .05100   .34700
731002    2441957.500000000000     -.018100    .05200   .34800
731003    2441958.500000000000     -.021200    .05400   .34800
731004    2441959.500000000000     -.024300    .05500   .34800
731005    2441960.500000000000     -.027400    .05700   .34800
731006    2441961.500000000000     -.030500    .05800   .34800
731007    2441962.500000000000     -.033600    .06000   .34700
731008    2441963.500000000000     -.036700    .06100   .34700
731009    2441964.500000000000     -.039800    .06300   .34700
731010    2441965.500000000000     -.042900    .06500   .34700
731011    2441966.500000000000     -.046000    .06600   .34700
731012    2441967.500000000000     -.049200    .06800   .34600
731013    2441968.500000000000     -.052300    .06900   .34600
731014    2441969.500000000000     -.055400    .07100   .34600
731015    2441970.500000000000     -.058600    .07200   .34600
731016    2441971.500000000000     -.061800    .07400   .34500
731017    2441972.500000000000     -.065000    .07500   .34500
731018    2441973.500000000000     -.068200    .07700   .34400
731019    2441974.500000000000     -.071400    .07800   .34400
731020    2441975.500000000000     -.074600    .07900   .34300
731021    2441976.500000000000     -.077900    .08100   .34300
